| File | English String | Key | Context |
|---|---|---|---|
| login.tsx | Welcome Back | welcomeBack | text |
| login.tsx | Sign in to continue | signInToContinue | text |
| login.tsx, forgot-password.tsx | Forgot Password? | forgotPassword | text |
| login.tsx | Email Address | emailAddress | placeholder |
| login.tsx | Password | password | placeholder |
| login.tsx | Access your grades, timetable, and campus services. | accessYourGradesTimetable | title |
| login.tsx | Sign In | signIn | title |
| index.tsx | ✨  WELCOME TO THE FUTURE | wELCOMETOTHEFUTURE | text |
| index.tsx | Futuristic | futuristic | text |
| index.tsx | Next-Gen | nextGen | text |
| index.tsx | Education. | education | text |
| index.tsx | Trusted by many institutions. | trustedByManyInstitutions | text |
| index.tsx | POWERED BY NexSyrus IMS | pOWEREDBYNexSyrusIMS | text |
| index.tsx | Grades, attendance & portal | gradesAttendancePortal | title |
| index.tsx | Classes, records & reports | classesRecordsReports | title |
| index.tsx | Full school management | fullSchoolManagement | title |
| index.tsx | Finance & fee tracking | financeFeeTracking | title |
| index.tsx | Driver Portal | driverPortal | title |
| index.tsx | Live tracking & trip management | liveTrackingTripManagement | title |
| forgot-password.tsx | Don't worry! It happens. Please enter your ID or Email associated with your account. | dontWorryItHappens | text |
| forgot-password.tsx | SEND RESET LINK | sENDRESETLINK | text |
| forgot-password.tsx | Enter ID or Email | enterIDOrEmail | placeholder |
| change-password.tsx | Change Password | changePassword | text |
| change-password.tsx | Your new password must be at least 8 characters long and contain uppercase, lowercase, and numeric characters. | yourNewPasswordMust | text |
| change-password.tsx | Current Password | currentPassword | text |
| change-password.tsx | New Password | newPassword | text |
| change-password.tsx | Confirm New Password | confirmNewPassword | text |
| change-password.tsx | Enter current password | enterCurrentPassword | placeholder |
| change-password.tsx | Enter new password | enterNewPassword | placeholder |
| change-password.tsx | Confirm new password | confirmNewPassword1 | placeholder |
| change-password.tsx | Update Password | updatePassword | title |
| fees.tsx | ₹{{amount}} | amount | text |
| fees.tsx | Paid: ₹{{amount}} | paidAmount | text |
| fees.tsx | Due: ₹{{amount}} | dueAmount | text |
| fees.tsx, fees.tsx, fees.tsx | Total Due | totalDue | text |
| fees.tsx | ₹{{amount}} | amount1 | text |
| fees.tsx, fees.tsx | Pay Now | payNow | text |
| fees.tsx | Total Fee | totalFee | text |
| fees.tsx | ₹{{amount}} | amount2 | text |
